title,description,appId
AccuWeather: Weather Radar,"<h1><b>AccuWeather’s trusted free weather forecast app is at your fingertips</b></h1> \r\nInternationally recognized by the World Meteorological Organization with awards for “Best User Interface and Data Representation”, “Best Weather Warnings”, and “Best Design and Presentation of Information, User-Friendliness; Access and Customization” making AccuWeather one of the best weather apps! \r\n\r\n<b>Weather Forecasts You Can Depend On</b>\r\n•  <b>Live weather forecasts</b> including MinuteCast® forecasts for Minute by Minute® precipitation updates\r\n•  <b>Local weather</b> including severe weather alerts, temperature, precipitation, and allergy outlooks for your day \r\n•  <b>WinterCast™: winter weather forecasts</b> giving you advanced warnings of snowfall probabilities and accumulation\r\n•  <b>Daily forecasts</b> include rain probability, cloud coverage, wind, live radar, air quality index, snowfall, and even UV index\r\n•  <b>Advanced weather radar</b> gives you up to the minute views of storm tracking, snow, rain, ice, temperature changes, and much more\r\n•  <b>RealFeel® & RealFeel Shade Temperature™ technology</b> helping you get a better sense of how the weather actually feels\r\n\r\n<h2><b>Live weather with Weather Alerts</b></h2>\r\nThe AccuWeather forecasting and severe weather alerts you know and trust. From local weather updates to WinterCast snow alerts, get the weather forecast you can rely on. With in-depth weather news, forecast updates, free weather alerts, plus today’s forecast and much more. Find out what makes AccuWeather the best as a trusted, free weather app. It’s the weather tracker you need!\r\n\r\n<h2><b>Advanced Weather Radar</b></h2>\r\nSetting the standard for free weather radar:\r\n•  The accurate weather radar you know from AccuWeather\r\n•  Weather watches and warnings for your local area\r\n•  RealVue™ and Enhanced RealVue™ satellite imagery looking at weather patterns from space\r\n•  Weather radar views for water vapor, rainfall, sustained winds, and even storm surges\r\n•  Timely tropical storm radar tracking to see where and when storms might hit\r\n•  Current conditions maps shows temperature and RealFeel in and around your area\r\n•  5-day precipitation outlook to see what rain, snow, and ice could be in your area\r\n•  24-hour snowfall forecast shows detailed maps with snow accumulation and winter weather\r\n•  Temperature contour maps show how the temperature will change over the next day\r\n\r\n<h2><b>For over 10 years, the AccuWeather app has brought you the weather</b></h2>\r\nWhether you're on the East Coast, Pacific Northwest, Southern Coast, or West Coast this free weather app can show you snow, wind, cold, rain and more! Stay prepared with our local weather and live forecasts. From extreme humidity, severe storms, allergy info, air quality index, snow storms, and ice alerts, get live updates that matter to you. Local weather forecasts are the AccuWeather specialty. \r\n\r\n<b>Our weather tracker & live radar gives you Superior Accuracy™</b>\r\nSevere weather warnings, today’s temperature, free weather radar maps & more!\r\n\r\n•  Get local forecasts and personalize the app depending on where you are in the world\r\n•  Go beyond today’s weather and look 45 days ahead to ensure that you’re prepared for any weather\r\n•  Try the MinuteCast feature for the most up to date live Minute by Minute weather forecast\r\n•  Weather alerts, storm alerts, and more! Get trending videos from AccuWeather’s dedicated news team\r\n•  Weather forecasting your way - a weather tracker that can filter and customize according to your preferences\r\n\r\nDownload the AccuWeather app today for free and enjoy award-winning Superior Accuracy in weather forecasting on your Android mobile, tablet, TV, and WearOS. More than just a daily forecast, try the best weather app and get more from your forecast.",com.accuweather.android
AFIS Wildfire Map,Get the latest updates on wildfire locations with the CSIR's AFIS Wildfire Map app that puts vital wildfire information at your fingertips. AFIS gives you access to fires detected globally by NASA's Terra and Aqua satellites as well as the SNPP and NOAA-20 satellites.\r\n\r\nThis app provides native access to the AFIS Viewer that is available online at https://viewer.afis.co.za/ \r\n\r\nThis app replaces the previous AFIS app that was no longer maintainable. New features will be added over time.\r\n\r\nVisit the South African Council for Scientific and Industrial Research (CSIR) website for more information about the organization behind AFIS: https://www.csir.co.za,za.co.csir.afis
AlarmTILT Mobile,"AlarmTILT® is an emergency procedures automation solution, guaranteeing the flow and exchange of information during an activation of your emergency response plan (ERP).\r\nAlarmTILT® works as Saas (Software as a Service), without the need for hardware, software or specialized staff. The platforms and communication networks are provided and managed by M-PLIFY S.A., creative company of AlarmTILT®.\r\n\r\nThis mobile application is an extension of AlarmTILT®.\r\n\r\nPOSSIBLE ACTIONS:\r\n1. Launch Procedure, with or without input mask\r\n2. Monitoring the progress of proceedings (which stage is in progress), the absolute or percentage of quota response (for example, 80% of members of the crisis team confirmed their presence for the immediate convocation)\r\n3. Sending a message to one or more recipients from the directory AlarmTILT®\r\n4. Receive and respond to push notification\r\n5. Launch and monitoring CMC\r\n\r\nHOW TO USE THE APPLICATION?\r\nThe application is an extension of the AlarmTILT® solution, creating an account is mandatory. To activate, simply add the media 'Smartphone' in contact in order to generate the activation code.\r\nFor more details : www.alarmtilt.com",com.alarmtilt.cordova
Alberta Emergency Alert,"Use the Alberta Emergency Alert App to be informed in the event of an emergency. \r\n						\r\nPersonal preparedness is everyone’s responsibility. Emergencies and disasters can occur anywhere, at any time. It is your responsibility to ensure you are prepared if an emergency or disaster occurs. Emergency alerts are issued to provide you with critical information about an immediate threat, where it is occurring, and what action you need to take.\r\n\r\nKey features of the Alberta Emergency Alert App include:\r\n\r\n● alerts for life-threatening and developing situations\r\n● alerts targeted for locations you are interested in\r\n● a Follow Me feature to receive alerts near your current location, even if travelling outside of Alberta\r\n● geographical alert area shown on a map\r\n● alerts can be easily shared on social media, and by email and text message\r\n● alert details include informative emergency descriptions, impacted areas and instructions on how to remain safe\r\n● easy to setup and use\r\n● choose the types of alerts you wish to receive\r\n● accessibility features allow full use by people with different abilities\r\n\r\nUse of this mobile application, and use of the information accessed by it, is your responsibility. This application is provided ‘as is,' without warranty or representation of any kind including the use, accuracy, timelines, applicability, performance, security, availability or reliability of this application, or that it is free of errors or defects. The Government of Alberta is not responsible for any loss or damage arising from the use of this mobile application or any reliance on the information accessed by it. The Government of Alberta is not responsible for any loss or damage arising out of a failure to access information through this mobile application, or from any virus or other damage to your mobile device or its operating system resulting from the downloading of this application.",ca.ab.gov.aea
ALERT FM Toolkit,ALERT FM is a reliable system and streamlines the process of sending mass notifications in times of crisis. It is the only wireless system for text messaging and audio other than cell based.\r\n\r\nThe ALERT FM Toolkit is a configuration tool and requires an ALERT FM Warner. It is not a standalone utility or app. \r\n\r\nAn ALERT FM Warner can be purchased by visiting our website. ALERT FM is a service dependent upon wireless ALERT FM radio coverage installed in your area. This information is available on our website.,us.gssnet.alertfmtoolkit
Alert2Me - Emergency Alerts,"In a new era of ever-growing climate emergencies, Alert2Me is your digital community for - Wildfires (Bushfires), Floods, Tropical Storms and other hazards. Alert2Me is a leader in building two-way spatial conversation and information sharing within your community.\r\n\r\nBe Informed!\r\nAt home, on the road or traveling around the globe, we continue to harmonise official information across Australia, the United States of America, Canada and more, to bring you community notifications and emergency alerts to your smart devices.\r\n\r\nBe Involved! \r\nYou have the power to inform others in your community of what you see, smell, hear or know. Your small piece of information, could make all the difference to another in your community.\r\nJoin our growing global digital family and we can all help our communities, first responders and alerting authorities by sharing local information.\r\n\r\nKEY FEATURES:\r\n-	Consistent multi-hazard map and list view, using internationally recognisable symbology and use of colour for warnings, incidents and other events. A highly useful tool for people who travel or live in cross border areas.\r\n\r\n-	Earth observation data using available near real-time and routine satellites for detecting extreme heat in your area. A useful way to see fire movement and activity over time.\r\n\r\n-	View wildfire/bushfire burnt areas where available.\r\n\r\n-	Filter information and tailor to your region and your environmental risks.\r\n\r\n-	Personalise alerts using watch zones to receive selected emergency notifications for your home or your loved ones' areas.\r\n\r\n-	Turn on Near Me while traveling to receive any emergency alerts in close proximity to you. \r\n\r\n-	Be involved, inform others as emergencies unfold and report to fellow citizens what is happening near you. Be part of the conversation and help others to stay away from danger.\r\n\r\n-	Vote on the credibility of others' reports, join hands in building a trustworthy community of reports.\r\n\r\n-	Facilitates enhanced information (when available) such as fire / flood spread predictions and smoke outlook areas.\r\n\r\n-	Choose your Light/Dark mode\r\n\r\n-	Send us your feedback via the app and share your ideas for new features and improvements.\r\n\r\nPublic authorities can engage with A2M Publish to publish their data to Alert2Me and other information channels.\r\n\r\nThanks to all our users who provide feedback!\r\n\r\nJoin us in helping to create safer and more resilient communities worldwide. Stay safe, and remember to use multiple sources of information during an emergency.",com.redhelmet.a2me
Alertable,"Alertable mass notifications keep you informed of emergencies and daily events in your community and workplace.\r\n\r\nUse Alertable for locations in Canada to stay aware and plan ahead. Check in advance for community events, closures, restrictions, hazards, danger and more. Know before you go. Keep yourself and others informed and up to date with Alertable.\r\n\r\nDo you work with an organization that uses the Alertable mass notification system? You can use the Alertable app to receive notifications from that organization for workplace safety events and team communications.\r\n\r\nNotifications are fast, reliable and easy to see and hear. Personalize notifications by type and severity. Choose notifications for many locations including home, work, school, cottage, family and friends locations and more. Change your locations and other personalized options in Settings, after the fact.\r\n\r\nKey features:\r\n\r\n• Canada wide public safety alerts (from Canada’s Alert Ready emergency alert system)\r\n• severe weather alerts (from Environment and Climate Change Canada)\r\n• fast, highly optimized alert notifications\r\n• easy, to setup and use\r\n• customizable, choose the types of critical, advisory and information alerts you wish to receive\r\n• targeted, alerts for only locations you are interested in\r\n• follow me, alerts for where you are at\r\n• maps, helpful for seeing the geographical area the alert is for\r\n• sharable, alerts can be shared on social media, email and text message\r\n• informative, emergency descriptions, impact areas and actions to take to remain safe\r\n• local, community notifications for closures, outages, restrictions, disruptions, re-openings,\r\nInterruptions and more\r\n• workplace, get alerts from your organization\r\n• accessible, full use by people with different abilities\r\n• bi-lingual, English/French\r\n\r\nPrivacy policy: https://peasi.com/privacy-policy-en/\r\nTerms and Conditions: https://peasi.com/terms-and-conditions-en/",com.artermobilize.alertable
Amber Weather,"Amber Weather is your personal weather station providing current weather for today and daily & hourly weather forecasts based on your current location or any location in the world. Amber Weather does not only offer real-time forecasts but also comes with different features for you to customize the weather as you want.\r\n\r\nThe app features the following:\r\n-Get current weather and weather forecasts for any location in the world (The app is translated into over 30 languages for you to easily use it)\r\n-Detailed weather report: current temperature, wind speed, and direction, humidity, visibility, atmospheric pressure, air quality index (AQI), dew point and UV index.\r\n-Hourly forecasts, 7 days forecasts, and long-range weather forecasts\r\n-Climate overview: to check monthly H/L temperature in a year\r\n-In-advanced severe weather for today alerts, like heavy raining & Typhoon\r\n-Warmly outdoor sports tips based on real-time Air Quality\r\n-Offer daytime & Moon Phase graphics, help you know the weather better\r\n-Send you with brief weather tips in the morning before work, and in the evening before sleep\r\n-Save your favorite locations to quickly get forecasts\r\n-Current weather for today notification\r\n-Over 90 home screen widgets in different sizes and themes (try-before-you-buy-service available)\r\n-Refreshing Material Design-based UI\r\n-Optimized for tablets\r\n\r\nFeedback\r\nIf you have any advice or suggestions, please send your feedback to weather_support@amberweather.com. Your feedback will be fully appreciated. We are looking forward to improving our product with your help.",mobi.infolife.ezweather
Auxiliapp,Auxiliapp is a system for crisis management and emergencies.,com.ecom.auxiliapp
Basic Emergency Care,"The ABCDE app is designed to help guide you through the resuscitation skills you have learned from the Basic Emergency Care (BEC) course. Progress through the pathway with a chatbot, search for specific conditions and how to manage them.",com.enginious.bec.ucsf
