,App Name,Review,"Revew Length
 in Characters",Mongo ID
0,Citizen: Local Safety Alerts,"This app truly has the potential to be invaluable! Unfortunately cannot rate it five stars with a few things that make it irritable/unreliable to use the app.

The app was introduced to Me because I live in a dangerous area with lots of activity on the daily, not to mention My city as a whole, and as of recent I’ve been trying to make a habit of listening to the scanner when out & about for My safety and added awareness. I was immediately captivated by the recommendation and installed the app as well as having My brother and mom do the same to immediately add each other on August 30th, 2021 around 7pm.

The first, and perhaps most problematic issue, is when sifting through your contact list to find anyone you know who’s already using this app…instead of the app grouping all of those contacts already using the app and listing them at the top in alphabetical (or SOME form of chronological order) separate from the rest who aren’t where you then decide to invite whoever you’d like to invite to start using the app, this app has your contacts ALL MIXED UP in no order whatsoever! It’s SO unorganized. 
Another thing is, although I do appreciate the logo of this app beside the names of those who are using the app, it is the only time it doesn’t identify which phone number for the contact it is (work, mobile, iPhone, etc.) - the problem with this is, a lot of people have both a work and personal cell phone and could have an account for both (and I’d rather send request to their personal phone and not their work unless they’d like otherwise), OR that I could be sending a request to an old phone number that they no longer use but I haven’t deleted (that the service provider has assigned to a new individual) and I’ve sent a request to a stranger……if I could still see which of the contact’s number is listed under the name, even with the app logo, that would be a really good (and SAFE) thing! Because remember, this is someone we are enabling to see and have access to our location/whereabouts 24/7 if we have the Ghostmode disabled.

Speaking of Ghostmode, it would be optimal if we could choose which of our friends can and cannot see our location, if we wished to disable it for several minutes, an hour, a few hours, or indefinitely until we manually turn it back on, keep it on indefinitely, have it on for several minutes, on for an hour or a few hours (if attending a concert, going to a party in an area unfamiliar to them, going on a date with someone new, traveling somewhere out of town/state or country and sharing your location with family/loved ones/best friends/select few as well as having the added option to choose and use the app’s Agent would make it an added safety feature), etc. Because NOT having these options has limited my decision with who I add and invite to use the app, who’s requests I accept, kind of defeats the purpose of trying to keep everyone in-the-know and safe  without having to sacrifice My own privacy.

Lastly, the distance listed on the labels/titles of the notifications of the Incidents on the app is not accurate. As aforementioned, where I live is FULL of activity, and because I walk/run/drive up and down all over, I know these incidents saying they’re 1/3 of a mile away from Me are over half mile away, and I don’t understand what’s listed at 841 feet away from Me is actually 1/3 of a mile away.

Aside from My criticism, My takeaway and appreciation for this app are the real-time notifications from the Citizen app users, which gives us all an opportunity to “neighborhood watch” collectively, with its only option to live broadcast what is happening; that way no one gets to tell the narrative- we see it for ourselves. The app also makes/adds news notifications as well, wherever it gets its intel from… And both notifications created by the app users and the app itself can be updated with a video  from nearby app users or with more information from the app itself. I like that we can engage on these news notifications with commentary or reactions, I sometimes learn more about what’s happening in the incident from the comments than I do from the updates or lack thereof! AND that the news follows YOU and alerts you of what’s happening around your current/exact/real-time whereabouts, and it’s not stationary like your home or work address, etc.

But you’re not limited to just your surroundings, you CAN pick from a drop down list of major U.S. cities or globally…all up to you.
You will get alerts of notifications near/at the whereabouts of your friends who are sharing their locations with you, yet these special alerts make it easier to instantly message them to ask if they’re okay without a thought, as we naturally would react. If you happen to be in the same area as someone who’s sharing their location with you, you’ll be alerted of that as well with the option to message them “hello” and kind of encourages you to perhaps see them, even if briefly…this is purely a social feature though, and nothing relevant to news. In the Direct Messages section, you’ll find you can create group messages and that’s not a bad idea for family/friends/coworkers, you get it…

I’ll continue to revise this review and come up with ideas, I always have many ;), as I become more acclimated with the app.",5280,6481297c7a3b99eab485f616
1,Storm Shield ,"It could be coming down on the county that You or a Loved one lives in. And I could tell ya way back in the 50’s & 60’s even back then Your Phone Holds Now more information than the weather person had sitting in front of them back then…. In 1964 I was in the playground at 8:48pm at the corner of 28th & Clyde Park. The Southeast corner. There stood a two story school building. I went from  K- -6th grade there. But that day durning school I always got in the class room but one time that did not have Windows so I could see the playground . This special day I was day dreaming as they were setting up the caravelle, the one time only a double Farris Wheel !! Later that night I was lucky enough to tag along with my Big Brother up there. Well till we got up there and he said at 8:30pm meet me right here !!
We need to be back home at 9:00pm it was only a twenty minute walk home, I did it every day my brother would to when he went there he was five years older. My last ride at 8:10pm the guy running this ride said see that lighting to the west ?? Yep well the weatherman on this Here radio said the storm is over Grandville right now !! 
Where is Grandville From Here he said. Oh 30 miles okay Good he said you may get on the ride are you by yourself No my brother is with me !! Where is he gotten to get them kids up on the second decker down. Oh that’s okay shut the bar he’s older and don’t want anyone to know he’s scare of this !! He slam the Bar that hit my stomach grab the handle gave it a Big Hard Pull I went backwards and seen and heard my brother scream at me !!! There’s a Very Bad Storm in Grandville 12 miles from here I jerk my head to look at that guys face of Horror he had looking at my wheel going up up for the second wheel being on the top of Which I was the only one on that wheel. It kept on turning as he was trying to get them all off that first wheel. Then it happen Big Bang on was on the very to of the second one. I could see Sparks hitting the road on 28 Th street all the street lights going out the food score and town talk gas station and all the lights on this bid tall Double Decker !! And my double chair with all the rest of the empty ones stop swinging
 Also !! The lighting was all over. It even hit the water tower for our city Boom Boom As I Sat in this Alumniin Seat Bang one hit the telephone pole in the back turn around street that bump up to the playground !! My brother yelling at me to get down from there !!! And then a Very Bright Light started to shine on me and a Very Loud Voice telling me to laid down now please !!!
It was a police car has he sat in his front seat with his arm sticking out his car door window as he spoke over his microphone lad down your brother is in my backseat staying dry. The weatherman said this will be past here in  few minutes but consumers does not know what pole that was hit is feeding the school or the town   We will send a squad car to your home to say your safe and all right now !!! Ya only if they had something like this they would of know the time it would of been where I sat till it was over that day of 8:45 the storm was over and 9:32pm my feet were hitting the floor of the ladder truck,, Th at they did not want to set up in that very bad electrical Storm that fall evening !!! So thanks to this app everyone will know where each city is at if you happen to be from out of town or if your traveling thru you will know if it’s at your back heels or your going to run into it head on and if you should pull over but not like tonight your warnings of floods so you’ll know if the creek or the river that’s along side the freeway is really not the best place to stop or to ask me how far Grandville Michigan is from here now it is 275 miles southeast of me tonight check it Out Ellsworth ,  Michigan zip code 49729 !!
You’ll feel right at home Wooden Shoe Campgrounds  !!! 
Randy of Northern Western Michigan of the Lower Part hot an sticky right now after another Hard Shower !!!  Thank You for the Great Weather Warnings you give on this SITE !!!! 
And time You took to Read this and to spread my weather story of what it was like way before we had your Great App on our cool phones now a days in 2020’s now being 
June 26,,, 2021  (-: 
Thanks RJV at 66 now on 3 rd of June of this year. Anyone knows where a,
 Double Farris Wheel is at?

Maybe for sale also ?? Thanks again",4379,648138137a3b99eab4869e32
2,KATWARN,"Ist die App hilfreich? Ja, aber mit deutlichen Einschränkungen:

- Katastrophenwarnungen gibt es lediglich für 31 Landkreise. In Deutschland gibt es 295 Landkreise. Eine Liste der unterstüzten Landkreise findet sich auf der Internetseite von Katwarn. 
- Bei bundeslandweiten Katastrophen wird für ""verschiedene"" Bundesländer gewarnt. Welche, wird nicht näher genannt. 
- In der Beschreibung und in der App werden auf diese Einschränkungen nur sehr ""leise"" hingewiesen. Das Mindeste wäre ein Hinweis bei der Auswahl eines Postleitzahlgebiets. 
- Gut: Warnungen des Deutschen Wetterdienstes (DWD) werden in allen Landkreisen für die beiden höchsten Stufen gemeldet. Also für amtliche Unwetterwarnungen (Warnstufe rot) und Warnungen vor extremem Unwetter (Warnstufe dunkelrot/violett). Erläuterungen dazu finden sich auf der Webseite Wettergefahren.
- ich wünsche mir eine in der Meldung eingeblendete Gefahrenskala, die mir eine Einordnung erlaubt. Das Wort ""Extremwetter"" sagt mir im Zweifel nichts. 
- Für Unwetterwarnungen wird der Standard iOS Hinweiston verwendet. Angenehm wäre mir ein eigener Unwetter Hinweiston. Für Katastrophenwarnungen wird offenbar bereits ein extra Alarmton verwendet.
- Zumindest mein iPhone unterschlägt öfters Pushnachrichten, z.B. der Tagesschau App. So habe ich Zweifel ob eine Pushwarnung der App mich zuverlässig erreichen würde.
- Auch wird immer davor gewarnt, dass bei einem Unwetter das Mobilfunknetz ausfallen kann. Einschränkungen oder Überlastung des mobilen Internets sind natürlich auch im Katastrophenfall keinesfalls auszuschließen.
- Vielleicht könnte folgendes Verfahren Zuverlässigkeit und Geschwindigkeit verbessern: Quittiert KatWarn nicht innerhalb von 2 Minuten den Empfang einer Warnmeldung, so wird eine SMS versendet. 
- Wenn ich die, pathetisch ""Schutzengel"" genannte, automatische Lokalisierung aktiviere, dann wird in der Menüleiste dauerhaft das Symbol für Ortungsdienste angezeigt.
Leider sieht man so aber nicht mehr ob andere Apps den Ortungsdienst aktiviert haben und ihrerseits mit GPS den Akku stark belasten. Wir haben hier also eine Alarmglocke, der leicht aus Versehen, der Saft ausgehen kann.
  Ich frage mich, ob nicht eine kurze Ortung alle 10 Minuten ausreichen würde?
Wie sehr die Schutzengel Funktion meinen Akku belastet, muss ich noch herausfinden. In der Anleitung heißt es dazu:
""Durch Verwendung der  energieeffizienten Ortung über Basisstationen und WLAN:Zugangspunkte (und nicht über  GPS) wird der Akku nur geringfügig belastet. Die App wird dabei nur aktiv, wenn Sie sich in  einem größeren Rahmen von Ihrer aktuellen Position entfernt haben (ca. 2 km) bzw. wenn  Sie den hellblauen Schutzbereich auf Ihrem Display verlassen.  
  Obwohl beim iPhone dabei durchgängig das Ortungssymbol in der Statusleiste angezeigt  wird, ist dies daher nicht automatisch mit einem erhöhten Energieverbrauch  gleichzusetzen.''

Die App kann informieren. Auf sie verlassen sollte man sich aber nicht!

Wer die Bevölkerung zuverlässig und flächendeckend warnen möchte, sollte mal einen Blick nach Österreich werfen. Dort gibt es ein SirenenWarnsystem, das in den letzten Jahren so ausgebaut wurde, dass es nahezu in jedem Winkel Österreichs zu hören ist. Handy, Smartphone, eine funktionierende Datenverbindung oder überhaupt irgendein eingeschaltetes Gerät sind dort für die erste Warnung nicht nötig. 
Den zweiten Blick würde ich nach Japan werfen. Dort gibt es ein über _mehrere_ Kanäle laufendes, _praxisbewährtes_ Katastrophenwarnsystem. 

Bei der letzten Unwetterwarnung im Herbst 2014 war es so:
Die Warnung, ausgegeben um 16:18 Uhr meldete meine KatWarn-App um 16:41. Die KatWarn SMS mit der gleichen Warnung erreichte mich um 16:21 Uhr. Mein iPhone hatte die ganze Zeit eine perfekte Internetverbindung.

Update 31.3.2015:
Eine WarnApp, die nicht warnt, ist leider zu 100% unbrauchbar. Deshalb stufe ich von 3 auf 1 Stern herab. Die heutigen Warnmeldungen vor Extremwetter wurden weder für meine eingetragenen Orte, noch für den Schutzengelbereich (als ""Mitteilung"" in iOS) signalisiert. Erst nach einem Aufruf der App sah ich die Warnungen, bzw. kamen auch die Meldungen. Das war dann 6 Stunden nach dem Ausgabezeitpunkt.
Es ist leider auch unerheblich ob es an der App liegt, oder an irgendetwas anderem. Eine WarnApp, die nicht, oder nur sehr unzuverlässig, warnt, ist überflüssig.",4358,64812f8b7a3b99eab4861f2f
3,Citizen: Local Safety Alerts,"Seriously, I just came to leave a review at 4:30am whole following an event in my neighborhood bc I’m so sick of the terrible interface after over a year of patiently sucking it up (actually, 2+ yrs?). The user videos of live, serious, and breaking events being shared in my own neighborhood that i’m trying to observe are 80% covered with other info like the comment/info menu tabs to toggle to the radio updates and/or user comments, playback controls, reporting information, map toggle, and thumbnails to other citizen videos. 

If you think you can simply tap to view a full screen video of some breaking live breaking news incident, and then tap back to the other navigation tabs/menus/thumbnails, well you’d be wrong. 

If you try to tap the open/active video (live or otherwise) to full screen, tapping it only sends ::prayer hands:: or other emoji reactions on your behalf. Thanks, I guess I’m 12. 

If you think you can swipe down to hide the lower screen comment/detail menu tabs and various thumbnail and navigation overlays, guess again. Nope. The incident page/feed closes completely and sends you back to the main map for monitoring incidents in your neighborhood. 

Ok, what if you geeeently and caasaaarefully nudge the lower comment/detail menu tabs down to get them and the other video thumbnails/navigation controls to hide while I view this video? Well, still not really. Those elements still won’t hide to give you a clean full screen view, but will at least drop down maybe 25% and at least leave you now with only a 55% covered window to watch a video of some important/breaking event in your neighborhood, with the rest of the screen (sometimes the most important details of the live feed) peppered with a glom of thumbnails and menu tab overlays that refuse to fully minimize, not to mention thousands of floating emoji reactions during a live feed that you can’t seem to hide under any circumstance unless you tab out of the incident and then back in again, while being SURE TO TOUCH NOTHING ELSE. If you tap the screen once to instinctively try to hide the menus/navigation/etc and go to full screen video like EVERY OTHER APP in the world (no, there is no <—> full screen toggle), the emoji reactions will start shooting like flying toasters again and block the entire (tiny) area of actual viewable video space...til you just shut it down and give up and close the app entirely, hostage situation be damned (yeah, i live in LA, the app carries some pretty significant news from right on my street, even letting me watch when a fugitive took an opening and ran up the street, I was able to follow him to my location where he slid into the crawl space under my building, changed his clothes, and then took off again. Yep, useful app. But i still couldn’t get full screen video, so at least I had my own eyeballs to fall back on).

Have some faith in your users, Citizen. We use YouTube, Apple News, Twitter, etc. on a daily basis, and seem to manage just fine moving between full screen content windows and tapping again to access additional navigation, menus, map view, etc. You need to implement basic full-screen viewing of live/archived incident videos, with a single toggle to such, and stop burying important real life content under countless other menus and overlays that you can’t shrink or hide or get out of the way without exiting the incident completely. Like we’re somehow going to forget where we are and lose our way back and not credit Citizen with our great content. Well I’ve dealt with this for over a year and it’s still no better, just absolutely stupid to not provide full screen video and make me squint and tap and navigate and exit and reload and turn a video and try to squint to the video behind/between the thumbnails to see if my neighbor’s house is the one that just caught on fire or not. Get some common sense UI/UX into this app bc it’s just pathetic after this much time to make the appropriate updates.",3964,6481297c7a3b99eab485f88d
4,Alberta Emergency Alert,"If for example the tornado is in the NE and is not coming in the SE of Calgary then why would it affect the SE Calgary when it’s happening in the NE in Calgary? Could it be about the specific area instead of the whole city Because I don’t want the whole city I only want within the SE because I avoid travelling to the North in Calgary due to the pandemic! It would be more effective if it says for what location in the city so that I am not worked up so bad because I have been like that ever since I was 7 wasn’t truly scared until I was 14 years old when my foster parents made me scared but at least now I am turning 21 I am trying to be brave of the storm that’s coming because it’s usually rare in the SE in Calgary but only non damage tornadoes in the city only 2 damaging tornadoes so far rest were not fatal enough to make it a warning! I hope you understand and see if it’s possible and I don’t mind the buzz noise because it gets enough attention to Alberta that this x storm is happening but at the same time it makes it scary a bit because of location but to make it not annoying if you can mute it because some people are deaf and can’t see maybe the words should be bigger I find because when I read a television it’s so blurry I cannot see the words like its so small like what is it saying I myself can’t read far I am a nearsighted vision which is why I am wearing glasses but not helping to see farther could you make it a bit not too big but enough that I can actually see the words when you make the alert it would be much easier on my eye sight is not great but at least I got rid of those little tiny dots that were around my eyes so unlucky that my optometrist made a very big lie about my vision being 20/20 no I am near sighted when I read something it goes close to my eyes but not so close to make them blind I read a not so far enough to not wear glasses when I take them off everything is so blurry I can not see where I’m going and what I am doing etc. I just wanted to express it so that it happens with every television also if you can send it by telephone what would it look and sound like if it works I don’t know! Also how do you send those alerts is it special training or is it typing and sending it to house per house and does it cost money to do so I would absolutely like to know because it would make it interesting to learn all of that stuff! I am not blind but I can’t see far without glasses it’s that I am a nearsighted you might not be but it would be best if it was big to see so I don’t have to stand walk to the TV and see what part of the city it’s at!

Other than that keep going on your good job you are totally worth a lot of money to letting people know that a tornado or something is going to happen it’s very helpful for me because I can plan when to go and where to go and make it a timely fashion with my day program it’s great because one day something does happen and we aren’t prepared then we are totally screwed and I have been noticing that storms cost money after it damages maybe we shouldn’t have a tornado because nothing good about it neither thunder or hail those does more damage than making a healthy environment so I don’t know the point of thunder and hail with wind like seriously does it have to be a severe storm over the summer even if it’s hot no because it’s not necessary like Mexico they get very hot and clear at night why can it not happen here in Calgary! Anyways please do send me an email regarding to all my questions if you can think about my questions and reply because I would like to know just do it anonymously if you can so that my mom doesn’t see the email only myself because if my bitchy mother knows she always flips people off just in seconds she will be such a big two faced *****. I am letting you know that is how my mother is quite like that some times just so u are aware!",3877,6481245f7a3b99eab485e00f
5,Noonlight: Feel Protected 24/7,"This app is an absolute must have for everybody. Man, woman, child, old, young, single, etc... everybody benefits from installing this app. And it is totally worth the $3 a month. If you are willing to pay for a security system at your house why wouldn’t you pay for this app. Having to pay for it increases my piece of mind actually. Paying for it means they have the resources to hire caring, dedicated, and well trained staff to man the phones 24/7. Paying for it means they have the resources to continually develop and improve the app, making additional app integrations a reality rather than just an idea. I can’t wait until this app is fully integrated with Uber ( hopefully Lyft isn’t far behind) and Facebook. Just more ways to make me feel safe. And think about it 911 isn’t free. If you pay a phone bill, landline or mobile, you pay a surcharge for the 911 service and if you pay local taxes you are funding the 911 service. Safety is not free and it shouldn’t be. Funds should be collected to train staff and implement new safety procedures. Now it shouldn’t cost an arm and a leg either but the $3 per month charge for this app is chump change. And the billing is done so conveniently especially if you have an iPhone. I never have to worry about remembering to pay for my subscription. It automatically bills my iTunes account each month and that equals even more piece of mind. 

I tested the app right after I installed it and it was so simple and easy to use. I kinda wish you didn’t have to hold the button the whole time but I guess they need some sort of signal to send for help and I honestly can’t think of any better way to do it. The app creators were geniuses and I am so thankful to them for developing this app. This is an absolute must have for everybody. And make sure you put it on your first page or Home Screen so that it is right at your fingertips. I have an iPhone and have the app in my dock at the bottom of the screen so no matter where I am or what I’m doing on my phone the app is right at my fingertips. Don’t just install this app and forget about it. Use it. The more you remember to use it when you are just feeling uneasy or with a sketchy Uber driver the more likely you will remember you have the app and actually use it in a real emergency.

I love that there are live people manning the phone lines and that they both text and call. Who knows what situation you might be in and you can’t always answer a phone call. Texting has become such an integral part of life today I couldn’t imagine this app really working without having a texting feature. 

I have not had to use this app in an actual emergency yet and I hope I never have to but it is so reassuring to know that help is literally a fingertip away when you really need it. I read almost every review in the App Store and the only complaint I came across were those whining about having to pay for the app. I came across a similar app to this one and it was $3 a week not a month and had horrible reviews. This app has a 4.5 rating and that’s only because of the complaints about price while similar apps have a 3.6 rating and multiple complaints about availability and response time, app crashes and poor development. This is the app!! Get it and send the first month free to everyone you know. Post it on Facebook. Encourage every person you know to get this app. I am a single mother with a 14 yo son and I have this app on both of our phones. I also insisted that my mom, sister, aunts, cousins, and friends get the app for themselves too. I can’t emphasize enough how crucial and beneficial it is to have this app. Please do yourself a favor and download it today!!",3677,648136937a3b99eab4867dd0
6,PulsePoint Respond,"Pulse point needs to make two decisions for this app to be a great one. 

1 Is this app for trained professionals or for citizens with first aid/CPR training?

2 Is this app primarily a data driven app or is it solely to connect those trained citizens to incidents requiring need?

On the first question- Of course the answer is that it is for citizens (I think), but it is written and displayed like it is for first responders.  There is simply too many esoteric words and symbols that a non EMS / fire person would not know. When I opened the app I immediately saw that there was a medical emergency near my house. My HR rose and I was wondering, is this active? Do I need to rush out the door right now?  I had to look up what E39 (in green) and M12 (in beige) meant. I eventually got the picture that it's not a current emergency but those symbols and colors MUST be discarded in favor of a system that shows the user 2 things; is it active? And have EMS fire already arrived? 

This leads to the second point which is for this app to be successful, it MUST be able to connect trained citizens to an incident faster than EMS / fire can arrive. If it cannot do that, then the app is useless. In addition to the esoteric colors and symbols, the map is flooded with old emergencies that have happened hours ago. I personally don't care about any of these, what can I at this point do about them? Now it may be helpful to have a ""historical"" mode where data from last 24 hrs is displayed so a user can understand where patterns of need (if possible to determine) will be. Otherwise my map is full of points that cloud my ability to see any current emergencies. 

In addition, (to really beat this horse dead) I received a notification of a traffic collision nearby. I clicked the notification and opened the app. The map was again full of points (active and cleared) and I had no idea where the accident was. In effect, the notification was useless. 

Summary:

In many cases EMS and fire dispatched via traditional means will be the fastest response to incidents of need. But if there is a way to decrease time to first care by using citizens with medical knowledge, then the app must make it exceedingly simple for the average citizen to find a casualty and provide care until first responders arrive. This app could actually change the definition of first responders if designed right!

Recommendations: 

1 Get rid of confusing symbols and colors. Replace with active or arrived (meaning EMS is on scene no need to assist)

2 Get rid of historical data and keep only active incidents that a citizen would need to go to. 

3 Make notifications relevant by zooming right onto the incident and then connecting with maps so a user could immediately navigate to incident. 

4 Give the option for a buffer 1, 5, or 10 miles. I would like to follow more than just 1 department but the data was overwhelming. By allowing a buffer, only incidents near the user will be displayed and notified. This allows me to follow many departments and receive only notifications where I may be able to assist due to my proximity. 

5 Enable a way for users to upload their qualifications (CPR/AED, off duty EMS, doctors etc) to the app so that we don't get random people wanting to be heroes coming to a scene and not being able to be effectual.

Cheers, I hope this review proves helpful.",3371,648137457a3b99eab48692fa
7,Noonlight: Feel Protected 24/7,Let me first start off saying I never really write reviews but I HAD to write one for Noonlight. So I absolutely love this app. It definitely helps with my anxiety at times for one. But I’m not going to lie I did wonder if this app really works probably like most of the people who first get it but I just always assumed it did. I had it for a while now I believe right after they came out with it as safe trek. So to my story lol I was tired and my little one was not at all and no matter what she would not go to bed and it was 1am but we are use to a different time so it was actually 2am. So I gave her my phone to watch Netflix in the bed next to me while I was in a on and off sleep state(Please don’t judge me). So she ended up going into the app pressing the button of course not knowing my pin so they text asking was everything ok. The text also said they would call if it was ok to answer. They called twice and my little one actually picked up the phone the second time for 2 seconds and then hung it up so she could get back to her show. With no response and the pick up hand up they sent officers out to the location of my phone. My mom boyfriend answered the door told them I wasn’t there and then came to see if I was and woke me up saying the police is outside saying your alarm went off. I got up thinking it was my car alarm and then realized how would they know where to go if my car alarm is going off being that I’m not home. So I got my phone from my little one and saw the text message. As I was going down stairs the officers told my mom boyfriend if they can come in to see if I was here(he still didn’t tell them I was there at that point) he said no that they have dogs that are out. The police officer said well we are going to come in(brake the door door down). So turn around and run up the stairs to grab my ID because I know they are going to want to know I am who I say I am. They say we see your car is here from out of town and continue asking me am I sure I’m ok and I explained my daughter had my phone which she was at the door while I was outside talking to them. And she had pressed the button and showed them the text messages. I told them I was at my mom house and gave him my driver license and they ran them in the system and he said my mom boyfriend was acting suspicious saying I wasn’t there. I said he didn’t know because the room door was closed but he came to wake me up. They said ok have a nice day. And I apologize for having to waste there time. I went into the app to cancel it still and the next day got a text from the app making sure I was ok. I know this is long but it’s my story as to why I love this app and I love that I know it works. I hate that it wasted everyone’s time and feel terrible about it. I would recommend this app to everyone. I actually told my sister to download it because she was catching a Uber one day late from work. A couple days later her son pressed the button in there apartment building and had 3-4 trucks of police officers jump out searching there building looking for her. This app really works and if I could give it 10 stars I definitely would. Thank you Noonlight for always being there!! ❤️❤️,3190,648136937a3b99eab4867302
8,PulsePoint Respond,"Great app, I use it every single day. It is immensely helpful as a firefighter to know what is going on in the city and as a quick reference for directions, primarily for runs that do not occur in our first-in district. It is so accurate, it is even helpful in our first-in apartment complexes as it will show the notification within the map screen over top of the side of the building the unit is on. This is so helpful!

That being said, the app still does leave some things to be desired. The biggest is the lack of a numerical address on EMS runs. I’m not sure why fire and other emergencies all have an address with an automatic route button that links you to Google maps, but EMS runs do not. I can only think that this is related to a fear of HIPPA violations, but it shouldn’t be a factor since this app also links you to the radio which speaks the numerical address as a public broadcast. In no way does this use patients names or identify anything that would create a violation. Because there are no numerical addresses, or route feature, for the 85% of our runs which are EMS, this is a huge deal for me. When our technology in our truck goes down, PulsePoint is always our first back up. Many times, this is even our primary, as it has proven itself to be more accurate than our own computer in our truck on occasion. INCLUDE ADDRESS NUMBERS FOR EMS RUNS PLEASE! 

What’s funny is that as a firefighter and a medic, I am frequently called to the location of a cardiac arrest. This means that I’m the closest person in our fire department to this emergency, but I’ve never had a cardiac arrest CPR alert go off. Therefore, I cannot confirm or comment on the reliability of this feature. In addition, if this feature does not utilize a numerical address because this is an EMS run, this will also create an issue. However, if it does list the address for a cardiac arrest with CPR needed, then this theory conflicts with the rest of the EMS runs which don’t utilize numerical information.

As far as reliability, it’s a 9.5 out of 10. Occasionally, the app will display the same two trucks for every run on the board, but it is easily fixed by shutting down the app and opening it back up. This is inconvenient during an emergency when I’m trying to confirm a location prior to getting in the truck quickly as the driver, but it does not take a huge amount of time.

After the last update, I would also like to comment on the increased look of the entire set up. It used to be very easy on an Android to see the different colors on the screen which indicate the status of a vehicle, but iPhones were terrible because they had a very poor color palette. With the improvement, it is very easy to see which colors are which and they utilize a much more legible font. This was by far the best improvement to date.

Overall, this app is a wonderful idea and the application has been nothing short of excellent. As with anything, there is definitely room for much needed improvement, but it is nothing so extreme the app is not still worth its weight in gold. Great job PulsePoint and keep on doing what you’re doing.",3121,648137457a3b99eab4869338
9,KATWARN,"... bekommt sie oft keine zweite Chance mehr.
Hier ein kostenloser Usabilty-Test.
Ich habe die App vor ca. einem Jahr bereits deinstalliert weil sie mich mit Fehlmeldungen wahnsinnig gemacht hatte.
Aber ich war neugierig und wollte sehen wie sehr nachgebessert wurde.
Zuerst wollte ich die ""Engel-Benachrichtigungsfunktion"" einschalten und bekam den Hinweis, dass ich in den Benachrichtigungseinstellungen meines Handys die App auf ""ja"" stellen sollte mit einem Direktlink dahin. Also klicke ich darauf, gelange in die Benachrichtigungseinstellungen meines Handys, stelle alles auf ""ja, ich will benachrichtigt werden"" und kehre zu Katwarn zurück.
Aber die ""Engel-Funktion"" ist nicht aktivierbar.
Dann schloss ich Katwarn, öffnete über die Benutzereinstellungen das Benachrichtigungscenter meines Handys, rufe dort die Benachrichtigungseinstellungen von Katwarn auf und stelle dann alles auf ""ja, ich will"" und schliesse alles wieder.
Danach öffne ich Katwarn und die ""Engel-Funktion"" ist immer noch nicht aktivierbar mit dem Hinweis: Ich möge doch bitte die Benachrichtigungsfunktion an schalten :(
Da war ich schon am kochen...
Dann dachte ich: ""ok, vielleicht geht es nicht, weil ich noch keinen Ort eingestellt habe"", obwohl das an für sich irrelevant sein müsste.
Also öffne ich den Ort, sehe eine Deutschlandkarte und ein Eingabefeld und gebe meine PLZ ein und bestätige das. Nichts passiert.
Dann klicke ich in das Feld, gebe Hamburg ein und erhalte als Auswahl nur Hamburg in den USA :(
Dann dachte ich, ich könnte durch tippen evtl. eine Positionsnadel setzen, wie das in allen meinen Erdbeben-Apps funktioniert. Ging auch nicht :(

- Meine Meinung -
Ich konzipiere seit vielen Jahren Apps und komplexe Internetseiten und bin fit in Ui/Ux und User-Center-Design.
Mich als User ärgert die Einstellung: Wir bringen das Projekt erst mal raus und der Rest kommt später und als Experte bin ich fassungslos.
Wir reden hier nicht über eine App, die Bäume bestimmen soll und da fehlt vielleicht ein Inhalt oder sie hat sonst Bedienfehler.
Nein, dass ist eine App von einer Katastrophenschutzbehörde, die ihre Bürger vor ernsten Gefahren warnen und damit schützen möchte! 
Und das die App dann nicht von Anfang an einfach funktioniert, stößt bei mir auf null Toleranz, weil dadurch das wichtige Vertrauen in die App und auch in die Behörde verloren geht. 
Auch das zu spät gewarnt oder gar nicht gewarnt wird, wie es einige schreiben, wäre für mich nicht hinnehmbar und alle Erklärungen dazu (wir können nicht alle Betriebssysteme abdecken, das Update bei Apple dauert so lange, das ist teuer, die API kann das nicht, blablabla) sind Ausreden die ich schon so oft gehört habe und die das fehlende Bewusstsein für das Benutzerverhalten aufzeigt.
Sollte in ein paar Jahren die App zuverlässig laufen, werden alle User, die die App mal ausprobiert und deinstalliert haben, sie nicht wieder installieren weil sie eine schlechte Erfahrung damit gemacht haben. Und damit erreicht man nicht mehr so viele wie man könnte und damit ist der Sinn der App - möglichst viele zu warnen - dahin.

Gestestet mit iPhone 5s 32gb iOS 9.3",3118,64812f8b7a3b99eab4861f07
